3pm,600,241.29999999999058,17
3pm,600,285.2999999999964,16
3pm,600,432.10000000002975,15
3pm,600,560.0000000000588,14
3pm,600,801.9000000001138,17
3pm,600,1136.0000000000623,16
3pm,600,1222.8999999999833,15
3pm,600,1267.8999999999423,14
3pm,600,1308.999999999905,13
3pm,600,1310.099999999904,12
3pm,600,1320.1999999998948,17
3pm,600,1333.8999999998823,16
3pm,600,1335.5999999998808,15
3pm,600,1335.9999999998804,14
3pm,600,1342.6999999998743,13
3pm,600,1343.8999999998732,12
3pm,600,1346.7999999998706,11
3pm,600,1369.2999999998501,10
3pm,600,1384.799999999836,9
3pm,600,1470.9999999997576,8
3pm,600,1520.8999999997122,7
3pm,600,1610.6999999996306,6
3pm,600,1640.1999999996037,5
3pm,600,1683.2999999995645,4
3pm,600,1706.5999999995433,3
3pm,600,1747.3999999995062,2
3pm,600,1762.1999999994928,1
3pm,600,1764.3999999994908,0
3pm,600,1767.6999999994878,0
3pm,600,1773.6999999994823,0
3pm,600,1781.9999999994748,0
3pm,600,1803.3999999994553,0
3pm,600,1836.9999999994247,0
3pm,600,1840.5999999994215,0
3pm,600,1841.199999999421,0
3pm,600,1895.3999999993716,0
3pm,600,1908.3999999993598,0
3pm,600,1920.0999999993492,17
3pm,600,1920.0999999993492,16
3pm,600,1920.0999999993492,15
3pm,600,1920.0999999993492,14
3pm,600,1920.0999999993492,13
3pm,600,1920.0999999993492,12
3pm,600,1920.199999999349,11
3pm,600,1920.199999999349,10
3pm,600,1920.199999999349,9
3pm,600,1925.3999999993443,8
3pm,600,1931.7999999993385,7
3pm,600,1943.7999999993276,6
3pm,600,1967.6999999993059,5
3pm,600,1971.0999999993028,4
3pm,600,1993.6999999992822,3
3pm,600,2006.4999999992706,2
3pm,600,2150.8999999991393,1
3pm,600,2179.0999999991136,0
3pm,600,2219.099999999077,0
3pm,600,2234.3999999990633,0
3pm,600,2242.599999999056,0
3pm,600,2249.2999999990498,0
3pm,600,2252.9999999990464,0
3pm,600,2361.6999999989475,0
3pm,600,2412.4999999989013,0
3pm,600,2488.799999998832,0
3pm,600,2501.4999999988204,0
3pm,600,2520.0999999988035,17
3pm,600,2520.0999999988035,16
3pm,600,2520.1999999988034,15
3pm,600,2520.1999999988034,14
3pm,600,2520.1999999988034,13
3pm,600,2520.1999999988034,12
3pm,600,2520.1999999988034,11
3pm,600,2520.1999999988034,10
3pm,600,2520.1999999988034,9
3pm,600,2520.1999999988034,8
3pm,600,2524.5999999987994,7
3pm,600,2660.099999998676,6
3pm,600,2665.3999999986713,5
3pm,600,2724.999999998617,4
3pm,600,2781.099999998566,3
3pm,600,3015.399999998353,2
3pm,600,3032.099999998338,1
3pm,600,3034.8999999983353,0
3pm,600,3045.7999999983253,0
3pm,600,3093.9999999982815,0
3pm,600,3114.7999999982626,0
3pm,600,3120.0999999982578,17
3pm,600,3120.0999999982578,16
3pm,600,3120.0999999982578,15
3pm,600,3120.0999999982578,14
3pm,600,3120.0999999982578,13
3pm,600,3120.0999999982578,12
3pm,600,3120.1999999982577,11
3pm,600,3128.9999999982497,10
3pm,600,3135.6999999982436,9
3pm,600,3136.6999999982427,8
3pm,600,3224.199999998163,7
3pm,600,3233.8999999981543,6
3pm,600,3274.4999999981173,5
3pm,600,3304.39999999809,4
3pm,600,3435.499999997971,3
3pm,600,3448.0999999979595,2
3pm,600,3448.799999997959,1
3pm,600,3472.1999999979375,0
3pm,600,3517.3999999978964,0
3pm,600,3520.199999997894,0
3pm,600,3541.4999999978745,0
3pm,600,3555.9999999978613,0
3pm,600,3562.6999999978552,0
3pm,600,3562.899999997855,0
3pm,600,3567.0999999978512,0
3pm,600,3720.099999997712,17
3pm,600,3720.099999997712,16
3pm,600,3720.099999997712,15
3pm,600,3720.099999997712,14
3pm,600,3720.099999997712,13
3pm,600,3720.199999997712,12
3pm,600,3720.199999997712,11
3pm,600,3720.199999997712,10
3pm,600,3720.199999997712,9
3pm,600,3720.199999997712,8
3pm,600,3720.199999997712,7
3pm,600,3720.199999997712,6
3pm,600,3720.199999997712,5
3pm,600,3720.199999997712,4
3pm,600,3720.199999997712,3
3pm,600,3724.699999997708,2
3pm,600,3867.8999999975777,1
